Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Apr 7,boxscore,ARI,,SDP,W-wo,4,2,,1-0,1,up 0.5,Mantiply,Suarez,,3:18,N,35508,.98,+,
2,Friday Apr 8,boxscore,ARI,,SDP,L,0,3,,1-1,3,0.5,Manaea,Pérez,Rogers,2:44,N,17297,1.06,-,
3,Saturday Apr 9,boxscore,ARI,,SDP,L,2,5,,1-2,5,1.0,Wilson,Kennedy,Rogers,2:52,N,19504,.96,--,
4,Sunday Apr 10,boxscore,ARI,,SDP,L,5,10,,1-3,5,2.0,Adams,Smith,,3:15,D,19089,.93,---,
5,Tuesday Apr 12,boxscore,ARI,,HOU,L,1,2,,1-4,5,3.0,Neris,Melancon,Pressly,3:20,N,17674,.78,----,
6,Wednesday Apr 13,boxscore,ARI,,HOU,W-wo,3,2,10,2-4,5,2.5,Pérez,Pressly,,3:50,D,12660,.75,+,
7,Friday Apr 15,boxscore,ARI,@,NYM,L,3,10,,2-5,5,3.0,Bassitt,Davies,,3:24,D,43820,.79,-,
8,Saturday Apr 16,boxscore,ARI,@,NYM,W,3,2,,3-5,5,3.0,Poppen,Rodríguez,Melancon,3:12,D,37935,.77,+,
9,Sunday Apr 17,boxscore,ARI,@,NYM,L,0,5,,3-6,5,4.0,Shreve,Ramirez,,2:59,D,24515,.80,-,
10,Tuesday Apr 19 (1),boxscore,ARI,@,WSN,L,1,6,,3-7,5,5.0,Gray,Bumgarner,,3:08,D,9261,.75,--,
11,Tuesday Apr 19 (2),boxscore,ARI,@,WSN,L,0,1,,3-8,5,5.0,Adon,Gilbert,Rainey,2:31,N,11720,.72,---,
12,Wednesday Apr 20,boxscore,ARI,@,WSN,W,11,2,,4-8,5,5.0,Kelly,Fedde,,3:12,N,15774,.68,+,
13,Thursday Apr 21,boxscore,ARI,@,WSN,W,4,3,,5-8,5,4.5,Davies,Rogers,Melancon,3:00,D,14424,.73,++,
14,Friday Apr 22,boxscore,ARI,,NYM,L,5,6,10,5-9,5,5.5,Díaz,Melancon,Lugo,3:29,N,20939,.79,-,
15,Saturday Apr 23,boxscore,ARI,,NYM,W,5,2,,6-9,5,4.5,Castellanos,Williams,Mantiply,3:19,N,25413,.69,+,
16,Sunday Apr 24,boxscore,ARI,,NYM,L,2,6,,6-10,5,5.5,Megill,Wendelken,,2:56,D,23570,.74,-,
17,Monday Apr 25,boxscore,ARI,,LAD,L,0,4,,6-11,5,6.5,Buehler,Kelly,,2:33,N,17750,.71,--,
18,Tuesday Apr 26,boxscore,ARI,,LAD,W,5,3,,7-11,5,6.0,Kennedy,Graterol,Melancon,2:53,N,18063,.67,+,
19,Wednesday Apr 27,boxscore,ARI,,LAD,W,3,1,,8-11,5,5.0,Kennedy,Hudson,Melancon,2:36,D,15138,.70,++,
20,Thursday Apr 28,boxscore,ARI,@,STL,L,3,8,,8-12,5,5.5,Hudson,Castellanos,,3:01,N,33464,.75,-,
21,Friday Apr 29,boxscore,ARI,@,STL,W,6,2,,9-12,5,5.0,Bumgarner,Wainwright,,3:24,N,40753,.68,+,
22,Saturday Apr 30,boxscore,ARI,@,STL,W,2,0,,10-12,5,4.5,Kelly,Mikolas,Kennedy,2:38,D,40144,.71,++,
23,Sunday May 1,boxscore,ARI,@,STL,L,5,7,,10-13,5,5.0,Whitley,Middleton,Helsley,3:14,D,45123,.74,-,
24,Monday May 2,boxscore,ARI,@,MIA,W,5,4,,11-13,5,4.5,Gallen,López,Kennedy,3:27,N,6224,.70,+,
25,Tuesday May 3,boxscore,ARI,@,MIA,W,5,4,,12-13,5,4.5,Castellanos,Rogers,Mantiply,3:24,N,6263,.76,++,
26,Wednesday May 4,boxscore,ARI,@,MIA,W,8,7,,13-13,5,4.5,Middleton,Bender,Kennedy,3:25,D,7356,.85,+++,
27,Friday May 6,boxscore,ARI,,COL,W,4,1,,14-13,5,4.0,Kelly,Estévez,Melancon,2:47,N,18551,.90,++++,
28,Saturday May 7,boxscore,ARI,,COL,L,1,4,,14-14,5,5.5,Colomé,Melancon,Bard,3:19,N,24133,.99,-,
29,Sunday May 8,boxscore,ARI,,COL,W,4,0,,15-14,5,5.5,Gallen,Márquez,,2:44,D,19323,.88,+,
30,Monday May 9,boxscore,ARI,,MIA,W,4,3,,16-14,5,4.5,Nelson,Hernández,Melancon,2:50,N,11571,.86,++,
31,Tuesday May 10,boxscore,ARI,,MIA,W,9,3,,17-14,4,4.5,Bumgarner,Luzardo,,3:17,N,8855,.94,+++,
32,Wednesday May 11,boxscore,ARI,,MIA,L,3,11,,17-15,4,4.5,Bass,Melancon,,2:58,D,9058,.94,-,
33,Friday May 13,boxscore,ARI,,CHC,W,4,3,,18-15,4,3.0,Davies,Smyly,Melancon,2:56,N,21765,.94,+,
34,Saturday May 14,boxscore,ARI,,CHC,L,2,4,,18-16,4,3.0,Givens,Melancon,Wick,3:22,N,25169,.94,-,
35,Sunday May 15,boxscore,ARI,,CHC,L,2,3,,18-17,4,4.0,Effross,Kennedy,Wick,3:05,D,23309,.92,--,
36,Monday May 16,boxscore,ARI,@,LAD,L,4,5,,18-18,4,5.0,Gonsolin,Bumgarner,Kimbrel,2:56,N,42650,.97,---,
37,Tuesday May 17 (1),boxscore,ARI,@,LAD,L,6,7,,18-19,4,7.0,White,Gilbert,Kimbrel,3:10,D,42089,.92,----,
38,Tuesday May 17 (2),boxscore,ARI,@,LAD,L,3,12,,18-20,4,7.0,Anderson,Kelly,,2:45,N,46850,.88,-----,
39,Wednesday May 18,boxscore,ARI,@,LAD,L,3,5,,18-21,5,8.0,Buehler,Davies,Hudson,3:01,D,35643,.79,------,
40,Thursday May 19,boxscore,ARI,@,CHC,W,3,1,,19-21,5,7.5,Gallen,Stroman,Melancon,3:10,N,32631,.67,+,
41,Friday May 20,boxscore,ARI,@,CHC,W,10,6,,20-21,4,7.5,Castellanos,Hendricks,,3:06,D,31235,.74,++,
42,Saturday May 21,boxscore,ARI,@,CHC,W,7,6,10,21-21,4,7.5,Kennedy,Wick,Melancon,3:42,D,32269,.76,+++,
43,Sunday May 22,boxscore,ARI,@,CHC,L,4,5,,21-22,4,7.5,Thompson,Kennedy,,2:43,D,32606,.81,-,
44,Monday May 23,boxscore,ARI,,KCR,W,9,5,,22-22,4,7.5,Wendelken,Greinke,,3:36,N,14629,.75,+,
45,Tuesday May 24,boxscore,ARI,,KCR,W,8,6,,23-22,4,7.5,Ramirez,Clarke,Melancon,3:09,N,12616,.75,++,
